category;rating;rated
countries;AAA;0
countries;AA+;0
countries;AA;0
countries;AA-;0
countries;A+;0.2
countries;A;0.2
countries;A-;0.2
countries;BBB+;0.5
countries;BBB;0.5
countries;BBB-;0.5
countries;BB+;1
countries;BB;1
countries;BB-;1
countries;B+;1
countries;B;1
countries;B-;1
countries;CCC+;1.5
countries;Unrated;1
banks;Unrated;0.5
banks;AAA;0.2
banks;AA+;0.2
banks;AA;0.2
banks;AA-;0.2
banks;A+;0.5
banks;A;0.5
banks;A-;0.5
banks;BBB+;0.5
banks;BBB;0.5
banks;BBB-;0.5
banks;BB+;1
banks;BB;1
banks;BB-;1
banks;B+;1
banks;B;1
banks;B-;1
banks;CCC+;1.5
corporations;Unrated;1
corporations;AAA;0.2
corporations;AA+;0.2
corporations;AA;0.2
corporations;AA-;0.2
corporations;A+;0.5
corporations;A;0.5
corporations;A-;0.5
corporations;BBB+;1
corporations;BBB;1
corporations;BBB-;1
corporations;BB+;1
corporations;BB;1
corporations;BB-;1
corporations;B+;1.5
corporations;B;1.5
corporations;B-;1.5
corporations;CCC+;1.5
mortgages;;0.35
retail lending;;0.75
